#
#VizieRAstronomicalServervizier.u-strasbg.fr
#Date:2017-11-01T15:52:17[V1.99+(14-Oct-2013)]
#Incaseofproblem,pleasereportto:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5J2000
#INFO	votable-version=1.99+(14-Oct-2013)
#INFO	-ref=VIZ59f9e9f33715
#INFO	-out.max=9999
#INFO	queryParameters=38
#-oc.form=dec
#-out.max=9999
#-nav=cat:VI/137&tab:{VI/137/gum_mw}&key:source=VI/137/gum_mw&HTTPPRM:&
#-c.eq=J2000
#-c.r=2
#-c.u=arcmin
#-c.geom=r
#-source=VI/137/gum_mw
#-order=I
#-out=recno
#-out=ID
#-out=RA2kdeg
#-out=DE2kdeg
#-out=Pop
#-out=VMAG
#-out=Mbol
#-out=Gmag
#-out=GBmag
#-out=GRmag
#-out=Gsmag
#-out=RAJ2000
#-out=DEJ2000
#-out=r
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=vsini
#-out=V-I
#-out=Av
#-out=Mass
#-out=Radius
#-out=Age
#-out=[Fe/H]
#-out=[a/Fe]
#-out=Teff
#-out=logg
#-out=fI
#-out=Vtype
#
#INFO	-c=000.000000-90.000000,rm=2.
#

#RESOURCE=yCat_6137
#Name:VI/137
#Title:GaiaSimuUniverseModelSnapshot(Robin+,2012)
#Coosys	J2000_2010.000:	eq_FK5J2000
#Table	VI_137_gum_mw:
#Name:VI/137/gum_mw
#Title:GaiaUniverseModelSnapshot(GUMS):MilkyWaystars(among2,143,475,885stars)
#Column	recno	(I10)	[1/2143475885]Originalrecordnumber	[ucd=meta.record]
#Column	ID	(a19)	sourceidentifier(sourceExtendedId)	[ucd=meta.id,meta.main]
#Column	RA2kdeg	(F14.10)	RightascensionICRS,Epoch=J2000(G1)	[ucd=pos.eq.ra]
#Column	DE2kdeg	(F14.10)	DeclinationICRS,Epoch=J2000(G1)	[ucd=pos.eq.dec]
#Column	Pop	(I2)	[1/3]?Stellarpopulationtheobjectbelongsto(population)[NULLintegerwrittenasanemptystring]	[ucd=meta.code,obs]
#Column	VMAG	(F6.3)	V-bandabsolutemagnitude(meanAbsoluteV)	[ucd=phot.mag]
#Column	Mbol	(F6.3)	Bolometricabsolutemagnitude(mbol)	[ucd=phys.magAbs.bol]
#Column	Gmag	(F6.3)	GaiaG-bandmagnitude(350-1050nm)(magG)	[ucd=phot.mag,em.opt]
#Column	GBmag	(F6.3)	GaiaGbpbandmagnitude(350-770nm)(magGBp)	[ucd=phot.mag,em.opt.B]
#Column	GRmag	(F6.3)	GaiaGrpbandmagnitude(650-1050nm)(magGRp)	[ucd=phot.mag,em.opt.R]
#Column	Gsmag	(F6.3)	GaiaGrvsmagnitude(860+/-28nm)(magGRvs)	[ucd=phot.mag,em.opt.I]
#Column	RAJ2000	(F14.10)	Rightascension(ICRS,Epoch=J2010)(alpha)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(F14.10)	Declination(ICRS,Epoch=J2010)(delta)	[ucd=pos.eq.dec,meta.main]
#Column	r	(F7.1)	Barycentricdistance(distance)	[ucd=pos.distance,pos.heliocentric]
#Column	pmRA	(F9.3)	PropermotioninRA(*cos(DE))(muAlpha)	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F9.3)	PropermotioninDeclination(muDelta)	[ucd=pos.pm,pos.eq.dec]
#Column	RV	(F7.1)	Barycentricradialvelocity(radialVelocity)	[ucd=spect.dopplerVeloc,pos.heliocentric]
#Column	vsini	(F5.1)	Rotationalvelocity	[ucd=phys.veloc.rotat]
#Column	V-I	(F6.3)	IntrinsiccolorV-I(colorVminusI)	[ucd=phot.color,em.opt.V,em.opt.I]
#Column	Av	(F6.3)	Absorption(Av)	[ucd=phot.mag]
#Column	Mass	(F9.4)	Stellarmass(mass)	[ucd=phys.mass]
#Column	Radius	(E10.3)	Stellarradius(radius)	[ucd=pos.angDistance]
#Column	Age	(F6.3)	Estimatedage(age)	[ucd=time.age]
#Column	[Fe/H]	(F5.2)	Metallicity[Fe/H](feH)	[ucd=phys.abund.Z]
#Column	[a/Fe]	(F5.2)	{alpha}-elementsenhancement(alphaFe)	[ucd=phys.abund.Z]
#Column	Teff	(I6)	Effectivetemperature(teff)	[ucd=phys.temperature.effective]
#Column	logg	(F6.3)	Gravity(log)(logg)	[ucd=phys.gravity]
#Column	fI	(I1)	[0,1]1(true)ifinteractingwithacompanion(flagInteracting)	[ucd=meta.code.multip]
#Column	Vtype	(A4)	Variabilitytype(variabilityType)(2)	[ucd=meta.note]
,,deg,deg,,mag,mag,mag,mag,mag,mag,deg,deg,pc,mas/yr,mas/yr,km/s,km/s,mag,mag,Sun,Rsun,Gyr,[Sun],[Sun],K,[cm/s2],,
1350362033,*200322954-000002,120.0151367561,-89.9778778472,1,5.000,4.315,16.553,16.977,15.944,15.673,119.9672171365,-89.9778601727,1831.2,-6.661,6.366,29.6,2.4,0.741,0.470,0.9900,1.290e+00,4.000,0.03,0.02,5623,4.470,0,
1350362034,*200322952-000001,164.4466848315,-89.9810132810,1,7.100,5.852,17.649,18.338,16.806,16.429,164.3654411853,-89.9810024728,1293.7,-9.692,3.898,36.1,2.4,1.232,0.428,0.7500,1.020e+00,6.000,-0.35,0.08,4446,4.640,0,
1350362037,*200322952-000004,170.4762205230,-89.9802315445,2,5.200,4.582,19.384,19.778,18.806,18.548,170.4251329415,-89.9802211772,5904.7,-6.346,3.735,56.1,7.9,0.658,0.539,0.8060,1.030e+00,11.000,-0.80,0.30,5902,4.518,0,
1583635494,*200322952-000002,209.1409608958,-89.9678059779,1,12.300,10.637,19.639,21.066,18.401,17.828,209.0580323436,-89.9678645808,419.5,-16.775,-21.085,30.1,0.6,2.399,0.379,0.2600,2.000e-01,8.500,-0.37,0.10,3296,4.980,0,
1583635495,*200322996-000003,197.6242914155,-89.9899343848,2,11.600,10.052,16.372,17.807,15.132,14.557,195.8947796349,-89.9896919877,143.1,-109.365,88.914,9.3,1.1,2.500,0.155,0.2140,2.300e-01,11.000,-0.69,0.24,3581,5.076,0,
1583635496,*200322952-000003,181.0932071520,-89.9834836195,2,4.000,3.452,15.228,15.572,14.706,14.472,180.9415603567,-89.9834883792,1515.6,-15.737,-1.693,82.9,25.0,0.575,0.502,0.8970,1.570e+00,11.000,-1.08,0.42,6209,4.184,0,
1583635497,*200322996-000004+,216.7586172010,-89.9750410408,2,0.599,-0.269,12.992,13.497,12.305,11.999,216.7078918038,-89.9750526585,2732.3,-7.955,-4.179,2.9,0.0,0.878,0.501,1.7520,0.000e+00,11.000,-0.32,0.22,0,0.000,0,
1583635498,*200322996-000004A,216.3440372724,-89.9749706980,2,7.600,6.398,19.874,20.529,19.056,18.690,216.2932635007,-89.9749821556,2732.3,-7.985,-4.121,2.3,1.5,1.146,0.501,0.6020,7.700e-01,11.000,-0.32,0.22,4519,4.728,0,
1583635499,*200322996-000004B,216.3420291662,-89.9749639519,2,11.200,9.677,22.712,24.157,21.468,20.892,216.2912681569,-89.9749754087,2732.3,-7.985,-4.121,2.1,1.8,2.375,0.501,0.2420,2.600e-01,11.000,-0.32,0.22,3648,5.044,0,
1583635500,*200322996-000004C,217.3280238322,-89.9750784178,2,0.600,-0.266,12.994,13.499,12.307,12.001,217.2774901285,-89.9750902545,2732.3,-7.913,-4.258,3.0,4.3,0.877,0.501,0.7400,1.332e+01,11.000,-0.32,0.22,5023,2.325,0,
1583635501,*200322996-000004D,216.3426873391,-89.9752395125,2,13.800,12.090,24.646,26.699,23.239,22.587,216.2913614514,-89.9752509694,2732.3,-7.985,-4.121,2.3,2.4,3.188,0.501,0.1680,1.100e-01,11.000,-0.32,0.22,3184,5.259,0,
1583635502,*200322996-000006,225.7593645886,-89.9765391413,2,3.800,3.313,18.871,19.198,18.368,18.143,225.7243909199,-89.9765430069,9342.7,-5.155,-1.390,89.7,44.9,0.589,0.385,0.9060,1.710e+00,11.000,-1.19,0.24,6152,4.096,0,
2041555143,*200322981-000001,304.9773784737,-89.9668977423,1,10.300,8.761,15.915,17.038,14.805,14.297,305.1267655620,-89.9671339455,177.0,31.071,-84.993,22.6,1.9,2.018,0.216,0.4700,4.000e-01,0.075,0.03,0.02,3606,4.840,0,
2041555144,*200322998-000001,342.1539449545,-89.9787422241,1,7.700,6.381,18.918,19.710,18.000,17.587,342.2044454548,-89.9787531325,1813.0,6.745,-3.924,-34.2,2.4,1.396,0.453,0.7000,8.800e-01,2.500,0.05,0.02,4227,4.640,0,
2041555146,*200322998-000005+,333.0238543621,-89.9705017237,2,4.798,4.216,17.365,17.749,16.799,16.546,333.0721686528,-89.9705183528,2743.9,8.955,-5.983,19.9,0.0,0.622,0.578,1.0420,0.000e+00,11.000,-0.43,0.26,0,0.000,0,
2041555147,*200322998-000005A,333.0238448849,-89.9705017288,2,4.800,4.220,17.369,17.749,16.808,16.558,333.0721591794,-89.9705183580,2743.9,8.955,-5.983,23.7,18.6,0.613,0.578,0.8390,1.160e+00,11.000,-0.43,0.26,6067,4.430,0,
2041555148,*200322998-000005B,333.0238936838,-89.9705017024,2,11.800,10.239,23.230,24.832,21.936,21.333,333.0722079593,-89.9705183315,2743.9,8.955,-5.983,6.7,2.4,2.562,0.578,0.2030,2.100e-01,11.000,-0.43,0.26,3548,5.091,0,
2041555149,*200322981-000006,287.5232144072,-89.9727490368,2,5.800,5.102,19.259,19.718,18.615,18.329,287.4971971063,-89.9727515474,4214.3,-4.455,-0.903,10.0,0.5,0.757,0.591,0.7500,9.100e-01,11.000,-0.46,0.25,5572,4.610,0,
2041555150,*200322999-000006,278.9379468425,-89.9878283599,2,3.600,3.084,17.097,17.458,16.556,16.313,278.8615131389,-89.9878414574,4460.6,-5.845,-4.711,85.2,37.3,0.634,0.439,0.9150,2.010e+00,11.000,-0.51,0.27,5984,3.970,0,
2041555151,*200322998-000006,289.7207761409,-89.9757418253,2,4.600,4.033,18.349,18.708,17.811,17.569,289.7100544836,-89.9757627663,4833.9,-1.634,-7.539,-53.3,19.8,0.599,0.515,0.8550,1.240e+00,11.000,0.08,0.08,6124,4.379,0,
2041555152,*200322998-000007,324.3731895408,-89.9753093044,2,5.400,4.756,19.642,20.047,19.053,18.791,324.4013199225,-89.9753287875,6157.7,4.364,-7.013,74.5,1.3,0.688,0.513,0.7880,9.900e-01,11.000,-0.33,0.21,5794,4.554,0,
2041555153,*200322998-000008,327.0837669815,-89.9674069179,2,4.400,3.845,19.108,19.467,18.569,18.328,327.0968168227,-89.9674109083,7392.5,2.672,-1.436,65.7,23.5,0.584,0.551,0.8710,1.320e+00,11.000,-0.48,0.28,6180,4.322,0,
2041555154,*200322998-000010,301.7867020961,-89.9709997946,3,6.000,5.321,19.486,19.939,18.848,18.564,301.8063571094,-89.9710513502,4236.8,3.581,-18.559,171.1,0.1,0.742,0.603,0.6710,8.000e-01,14.000,-1.56,0.46,5649,4.673,0,
2041555172,*200323006-000007,349.8798629176,-89.9722789004,2,3.600,3.084,19.090,19.459,18.540,18.294,349.9075571198,-89.9722844062,11006.8,4.824,-1.981,24.3,21.6,0.634,0.475,0.9150,2.010e+00,11.000,-0.33,0.20,5984,3.970,0,

